=== game 0: Sligh (us, p1) vs Mono Black ===
  T1 Upkeep [our turn] life [20, 20] | 2 options -> TakeMulligan
  T11 DeclareAttackers [our turn] life [2, 15] | 2 options -> PassPriority
  T11 DeclareBlockers [our turn] life [2, 15] | 2 options -> PassPriority
  T11 CombatDamage [our turn] life [2, 15] | 2 options -> PassPriority
  T11 EndOfCombat [our turn] life [2, 15] | 2 options -> PassPriority
  T11 PostcombatMain [our turn] life [2, 15] | 2 options -> PassPriority
  T11 End [our turn] life [2, 15] | 2 options -> PassPriority
  T12 Upkeep [their turn] life [2, 15] | 2 options -> PassPriority
  T12 Upkeep [their turn] life [2, 15] | 2 options -> PassPriority
  T12 Upkeep [their turn] life [2, 14] | 2 options -> PassPriority
  T12 Upkeep [their turn] life [2, 13] | 2 options -> PassPriority
  T12 Draw [their turn] life [2, 13] | 2 options -> PassPriority
  T12 PrecombatMain [their turn] life [2, 13] | 2 options -> PassPriority
  T12 BeginningOfCombat [their turn] life [2, 13] | 2 options -> PassPriority
  T12 BeginningOfCombat [their turn] life [2, 13] | 2 options -> PassPriority
  T12 DeclareAttackers [their turn] life [2, 13] | 2 options -> PassPriority
  T12 DeclareBlockers [their turn] life [2, 13] | 2 options -> PassPriority
=== result: LOSS after 166 decisions ===
